"UPC","DESCRIPTION","MANUFACTURER","CATEGORY","elasticity","std_error","p_value","adj_r2","n_obs"
31254742835,"LSTRNE FRS BRST ANTSPC MW","WARNER","ORAL HYGIENE PRODUCTS",-2.03187289263751,0.06012766427453,1.41362046815341e-237,0.474755082756067,10463
31254742735,"LSTRNE CL MINT ANTSPTC MW","WARNER","ORAL HYGIENE PRODUCTS",-1.98642583665608,0.0604579948217744,6.39969054669367e-226,0.443908125509022,11072
2840004768,"RLDGLD TINY TWISTS PRTZL","FRITO LAY","BAG SNACKS",-1.96152068376648,0.0646350321763629,1.18591499799203e-194,0.741173607875434,11557
1111087396,"PL SR CRUST 3 MEAT PIZZA","PRIVATE LABEL","FROZEN PIZZA",-1.9586074204166,0.0511258915958083,2.80915409904584e-302,0.490002826885343,11566
7110410470,"MKSL DUTCH PRETZELS","MKSL","BAG SNACKS",-1.9457896227267,0.0942819997392502,1.74027406675665e-90,0.584691417834987,4542
31254742725,"LSTRNE CL MINT ANTSPTC MW","WARNER","ORAL HYGIENE PRODUCTS",-1.93626890094294,0.0509720563928235,4.50012410879606e-295,0.426932435721273,10089
1600027528,"GM CHEERIOS","GENERAL MI","COLD CEREAL",-1.8534402256764,0.047429562394406,2.31258814045571e-314,0.756455430984162,11983
3700019521,"CREST PH WHTG CLN MINT TP","P & G","ORAL HYGIENE PRODUCTS",-1.79368329206356,0.0448538721232676,1.28457067918724e-321,0.495473534465035,8946
7797502248,"SNYDR PRETZEL RODS","SNYDER S","BAG SNACKS",-1.77440618385233,0.0507337255075807,4.28268208501961e-254,0.677270455084641,10991
7797508006,"SNYDR FF MINI PRETZELS","SNYDER S","BAG SNACKS",-1.71248955131146,0.0556872821440869,6.25368083704214e-199,0.729455567856449,10606
88491201427,"POST FM SZ HNYBNCH OT ALM","POST FOODS","COLD CEREAL",-1.62542141137189,0.0580089834473823,1.64308534468857e-166,0.593336009845274,10306
1111085350,"PL BT SZ FRSTD SHRD WHT","PRIVATE LABEL","COLD CEREAL",-1.62397775168483,0.0411355002047391,2.1729007104098e-320,0.816271703523412,11963
7797508004,"SNYDR SOURDOUGH NIBBLERS","SNYDER S","BAG SNACKS",-1.61764183837033,0.0550810784583678,6.36370122866666e-182,0.794383857391611,10089
3700031613,"SCOPE ORIG MINT MOUTHWASH","P & G","ORAL HYGIENE PRODUCTS",-1.56404612261661,0.0565253618923396,1.16483777016105e-162,0.401009936314126,10475
1111085319,"PL HONEY NUT TOASTD OATS","PRIVATE LABEL","COLD CEREAL",-1.34849454943235,0.0678016977428229,1.30033713695439e-86,0.659024397193814,11959
3800031838,"KELL FROSTED FLAKES","KELLOGG","COLD CEREAL",-1.30720045536121,0.0403033621686779,3.34966249692653e-221,0.68508821785278,11979
3700044982,"CREST PH CLN MINT RINSE","P & G","ORAL HYGIENE PRODUCTS",-1.2400585234461,0.0698558225049032,1.7965463428225e-69,0.400985502683619,10405
1600027527,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL",-1.17069000105965,0.031409835510794,1.13727469201405e-287,0.775386265730783,11985
88491201426,"POST HNY BN OTS HNY RSTD","POST FOODS","COLD CEREAL",-1.15315291028963,0.0647312456385623,5.67506841913555e-70,0.489389627025453,10700
1111085345,"PL RAISIN BRAN","PRIVATE LABEL","COLD CEREAL",-1.10672061409529,0.0567648299899622,2.33536407293634e-83,0.630030502392495,11980
1111035398,"PL BL MINT ANTSPTC RINSE","PRIVATE LABEL","ORAL HYGIENE PRODUCTS",-1.07739828173318,0.0454644636836205,1.10557641268071e-120,0.317798367551005,9643
3800031829,"KELL BITE SIZE MINI WHEAT","KELLOGG","COLD CEREAL",-1.07454405509858,0.039989434556661,2.00458323350061e-154,0.735326540824355,11904
1111038078,"PL BL MINT ANTSPTC RINSE","PRIVATE LABEL","ORAL HYGIENE PRODUCTS",-1.06045630829169,0.0232000456576441,0,0.477662705270492,11248
1111038080,"PL ANTSPTC SPG MNT MTHWS","PRIVATE LABEL","ORAL HYGIENE PRODUCTS",-0.982361169259855,0.0255921878084403,6.47925320627379e-302,0.452828312379277,10665
1111009497,"PL PRETZEL STICKS","PRIVATE LABEL","BAG SNACKS",-0.913535956218707,0.0390862603945717,3.72479303481668e-118,0.787432945205184,11960
1111009507,"PL TWIST PRETZELS","PRIVATE LABEL","BAG SNACKS",-0.893928419101195,0.0560421540912406,1.17755887429134e-56,0.702351741306223,11288
4116709565,"ACT RSTR CL SPLSH MINT MW","CHATTEM","ORAL HYGIENE PRODUCTS",-0.844265007127998,0.087079698291909,4.31971189676945e-22,0.280651330695933,7218
4116709428,"ACT MINT A/CAV FLUOR RNS","CHATTEM","ORAL HYGIENE PRODUCTS",-0.832093359509211,0.101091279882272,2.1862757242202e-16,0.357661859852878,7230
4116709448,"ACT KIDS BBLGUM FLUOR RNS","CHATTEM","ORAL HYGIENE PRODUCTS",-0.702440680140866,0.099539407103374,1.85327718957095e-12,0.302272783256584,7651
1111009477,"PL MINI TWIST PRETZELS","PRIVATE LABEL","BAG SNACKS",-0.578022647285371,0.0373274303145373,1.46050750079384e-53,0.847168781643898,11938
7027312504,"SHURGD PRETZEL RODS","SHULTZ","BAG SNACKS",-0.437456240788567,0.043252036329335,8.57911611573933e-24,0.628752911673966,4546
7027316204,"SHURGD MINI PRETZELS","SHULTZ","BAG SNACKS",-0.364567248874129,0.0371595766714901,1.61115438867427e-22,0.712392764734625,5059
1600027564,"GM CHEERIOS","GENERAL MI","COLD CEREAL",-0.268988525351474,0.0220032015222898,3.66583529650052e-34,0.795038165232577,11980
7027316404,"SHURGD PRETZEL STICKS","SHULTZ","BAG SNACKS",-0.251689865133167,0.0357257619325197,2.10545742652143e-12,0.696733857514008,5050
3500068914,"COLG SPEARMINT WISP","COLGATE","ORAL HYGIENE PRODUCTS",-0.244830643674878,0.0509770363939906,1.74446523212417e-06,0.0582723069436272,1399
